artist,track_name,popularity,release_date,remix_flag
penta,we are the gods now,2,2021-08-20,0
penta,drop,2,2021-04-09,0
penta,digital disaster,1,2019-11-25,0
penta,galvatron,1,2019-11-25,0
penta,everybody jump,1,2019-06-10,0
penta,icecrown massacre,1,2019-06-10,0
penta,filthy fakkin bass,1,2017-11-13,0
penta,the failure,0,2017-11-13,0
penta,bassdrop,3,2017-02-13,0
penta,are we worth saving,0,2017-02-13,0
penta,stormrage,0,2015-05-18,0
penta,master of the universe,0,2015-05-18,0
penta,faceoff,0,2015-05-18,0
nosferatu,adagio for the wicked,19,2022-07-29,0
nosferatu,the only life i’ll ever know,18,2022-07-29,0
nosferatu,a sinner’s descent,25,2022-07-29,0
nosferatu,comforting evil,16,2022-07-29,0
nosferatu,beat the system,19,2022-07-29,0
nosferatu,when the devil knows your name,22,2022-07-29,0
nosferatu,purgatory fires (intro),2,2018-12-21,0
nosferatu,everlasting darkness,8,2018-12-21,0
nosferatu,assassinator style,6,2018-12-21,0
nosferatu,relentless,9,2018-12-21,0
nosferatu,poppin’ pistols,21,2018-12-21,0
nosferatu,inferno,11,2018-12-21,0
nosferatu,the shadow,7,2018-12-21,0
nosferatu,sanctity of space : cassini’s journey,17,2018-12-21,0
nosferatu,kippevel,11,2018-12-21,0
nosferatu,the pain,10,2018-12-21,0
meander,lamb [mix cut],11,2014-10-10,0
state of emergency,breaking the rules [mix cut],14,2014-10-10,0
korsakoff,"37,5% [mix cut]",19,2014-10-10,0
bodyshock,bitch! [mix cut],18,2014-10-10,0
crossfiyah,be prepared [mix cut],11,2014-10-10,0
dyprax,betrayed [mix cut],14,2014-10-10,0
n3ar,lullaby [mix cut],11,2014-10-10,0
tommyknocker,before you go #tih [mix cut],13,2014-10-10,0
thorax,pitbull [mix cut],15,2014-10-10,0
tha playah,der craft #tih [mix cut],10,2014-10-10,0
lowroller,savage station [mix cut],9,2014-10-10,0
xcite,invasion #tih [mix cut],7,2014-10-10,0
hellsystem,dance with death [mix cut],11,2014-10-10,0
art of fighters,keep on rocking #tih [mix cut],10,2014-10-10,0
n3ar,gunfight [mix cut],7,2014-10-10,0
miss k8,too many answers [mix cut],21,2014-10-10,0
evil activities,live ammunition [mix cut],8,2014-10-10,0
koozah,next life [mix cut],7,2014-10-10,0
nosferatu,hate me like a pro,6,2013-03-22,0
nosferatu,strength,8,2013-03-22,0
nosferatu,kriminal kultcha (breakbeat tribute),0,2013-03-22,0
nosferatu,dr. shitkickaz,3,2013-03-22,0
nosferatu,outro,0,2013-03-22,0
nosferatu,system 5601,2,2007-12-24,0
nosferatu,outshine any competition,7,2007-12-24,0
nosferatu,chronicles of a freak,2,2007-12-24,0
nosferatu,running interference,1,2007-12-24,0
nosferatu,bustin the crowd,3,2007-12-24,0
nosferatu,enemigo del estado,6,2007-12-24,0
nosferatu,the flames of your righteous anger,1,2007-12-24,0
nosferatu,outta control,3,2007-12-24,0
nosferatu,how far we can go,30,2021-11-04,0
nosferatu,play with the rhythm,25,2021-03-26,0
nosferatu,sanctity of space iii: meteoroid,14,2020-12-01,0
nosferatu,sanctity of space iii: the nebula,25,2020-12-01,0
nosferatu,betrayal,29,2020-10-09,0
nosferatu,the hood,28,2020-08-28,0
nosferatu,slumber,9,2020-07-20,0
nosferatu,area 51,12,2020-06-05,0
nosferatu,lived again,16,2017-06-08,0
nosferatu,and died again,15,2017-06-08,0
nosferatu,sanctity of space,18,2015-11-23,0
nosferatu,not giving a shit,4,2015-05-28,0
the viper,heat blaster #tih,1,2015-03-26,0
nosferatu,the wild side,3,2014-12-18,0
nosferatu,when angels cry,24,2011-08-22,0
nosferatu,beaver cleaver,1,2006-03-20,0
nosferatu,knock out,5,2006-03-20,0
nosferatu,disorder of the mind,1,2006-03-20,0
nosferatu,have it your way,8,2004-06-01,0
nosferatu,cameltoe,3,2004-06-01,0
nosferatu,loose canon,0,2004-06-01,0
broken minds,creepy terror show,35,2022-09-30,0
broken minds,the world tends to chaos,28,2022-09-30,0
broken minds,humanity pt. 3,12,2022-09-30,0
broken minds,eternal universe,34,2022-09-30,0
broken minds,sa o ko,32,2022-09-30,0
broken minds,absolute outro power,10,2022-09-30,0
broken minds,intro,23,2019-05-30,0
broken minds,break your mind,17,2019-05-30,0
broken minds,ven y agáchate,15,2019-05-30,0
broken minds,i give you my music,12,2019-05-30,0
broken minds,the lion king,13,2019-05-30,0
broken minds,coke in my nose,36,2019-05-30,0
broken minds,f*cking crazy,11,2019-05-30,0
broken minds,outro,2,2019-05-30,0
broken minds,ride alone,7,2016-02-29,0
broken minds,neia,2,2016-02-29,0
broken minds,arabian camel,1,2016-02-29,0
broken minds,requiem,4,2016-02-29,0
broken minds,switch the game,3,2016-02-29,0
broken minds,go away,2,2016-02-29,0
broken minds,you're not hardcore,5,2016-02-29,0
broken minds,paganos,39,2023-01-27,0
broken minds,bomb bass boom,27,2022-03-10,0
broken minds,dybbuk,22,2021-11-05,0
broken minds,chain breaker,34,2021-05-14,0
broken minds,storm in the quiet,18,2021-03-26,0
broken minds,we arrive,18,2021-03-01,0
broken minds,viaje astral,1,2020-10-01,0
broken minds,elevated,16,2020-07-20,0
broken minds,humanity,17,2020-07-02,0
broken minds,king cani,41,2019-06-06,0
broken minds,chupito,10,2019-01-24,0
broken minds,bow down,21,2018-06-14,0
broken minds,reborn,11,2018-05-17,0
broken minds,harness their energy,2,2018-01-25,0
broken minds,let's do this,1,2017-08-10,0
broken minds,apocalyptic,1,2015-06-08,0
broken minds,we want action,0,2015-06-08,0
bloodfire,illusion [mixed],11,2019-05-24,0
blaster,the boneless [mixed],12,2019-05-24,0
never surrender,smashing [mixed],9,2019-05-24,0
ignite,brain fckr [mixed],10,2019-05-24,0
access one,mind control [mixed],9,2019-05-24,0
odium,8 times [mixed],8,2019-05-24,0
d-fence,dissed [mixed],7,2019-05-24,0
broken minds,chupito [mixed],8,2019-05-24,0
repix,the dogfight [mixed],6,2019-05-24,0
cryogenic,fake ass model bitch [mixed],44,2019-05-24,0
advanced dealer,back to the rave,0,2016-12-16,0
crossfiyah,gunfight,0,2016-12-16,0
advanced dealer,are you afraid of god,0,2016-12-16,0
noize suppressor,nobody stop the sound,0,2016-12-16,0
noize suppressor,bouncing in the ghetto,0,2016-12-16,0
the beatkrusher,hedge drugs op?!,0,2016-12-16,0
bodyshock,maniac,0,2017-07-15,0
bodyshock,hittin' hardest,1,2017-07-15,0
bodyshock,the gangster's back,2,2017-07-15,0
bodyshock,e.a.s.t.s.i.d.e.,1,2017-07-15,0
bodyshock,hyperactive,2,2017-07-15,0
bodyshock,let's get shocked up,1,2017-07-15,0
bodyshock,underground masses,3,2017-07-15,0
bodyshock,the virus,5,2018-04-04,0
bodyshock,fire,7,2015-11-09,0
sefa,klaagzang,29,2022-04-07,0
sefa,dear god,38,2022-04-07,0
sefa,sunrise,44,2022-04-07,0
sefa,fly,36,2022-04-07,0
sefa,tourdion,35,2022-04-07,0
sefa,killing in the name,38,2022-04-07,0
sefa,schopenhauer,38,2018-03-02,0
sefa,follow,34,2018-03-02,0
sefa,leven = lijden,38,2018-03-02,0
sefa,saudade,24,2018-03-02,0
sefa,stille berg,27,2018-03-02,0
sefa,la follia,27,2018-03-02,0
sefa,euphoria,34,2018-03-02,0
sefa,the omega,35,2021-01-21,0
sefa,walking in the air,39,2019-07-24,0
sefa,one tribe,18,2019-05-17,0
sefa,in de hemel,42,2018-08-30,0
sefa,the future (q-base 2018 bkjn ost),28,2018-08-27,0
sefa,the future (q-base 2018 bkjn soundtrack),10,2018-08-27,0
sefa,be free,28,2017-06-08,0
sefa,lost in thoughts,48,2017-05-12,0
sefa,sick seranade,18,2016-02-05,0
sefa,ffs,13,2016-02-05,0
sefa,bad dreams,11,2015-08-07,0
sefa,the judgement,15,2015-08-07,0
sefa,path to madness,16,2015-08-07,0
rooler,discotek,51,2020-07-13,0
malice,demon inside me,32,2020-07-13,0
rooler,the rules,28,2020-07-13,0
malice,breed of man,22,2020-07-13,0
rooler,brain dead,27,2020-07-13,0
rooler,never surrender,22,2020-07-13,0
malice,the future,8,2018-11-06,0
malice,detonate,15,2018-10-31,0
malice,psikoshit!,6,2018-10-31,0
malice,annihilation,16,2018-10-31,0
malice,the covenant,6,2018-10-31,0
malice,courage,7,2018-10-31,0
malice,#shittymusic,11,2018-10-31,0
malice,wonderland,38,2022-10-27,0
malice,creatures of the night,31,2022-07-14,0
malice,dancing in the sky,34,2022-06-16,0
malice,raw talent,31,2021-12-16,0
malice,bloodbath,26,2021-12-16,0
malice,chasing my dream,26,2021-10-07,0
malice,another day,35,2021-01-11,0
malice,stronger,43,2020-01-13,0
malice,covenant,13,2019-06-24,0
malice,i am raw,20,2019-06-24,0
malice,fear,30,2019-05-27,0
malice,be the one,24,2019-03-15,0
malice,brutalized,16,2018-08-09,0
malice,fuckin' die 2.0,9,2017-08-21,0
malice,can't let you go,12,2017-03-27,0
malice,euphoric experiment,4,2016-12-19,0
malice,rawphoric experiment,10,2016-12-14,0
malice,xtermination,10,2016-06-13,0
malice,i'm a beast,3,2016-03-14,0
malice,the arrival,2,2016-03-14,0
malice,anger,2,2016-02-08,0
malice,d.l.m,5,2015-08-17,0
malice,doom,3,2015-05-11,0
malice,dictatorship,2,2015-01-12,0
malice,madness,1,2015-01-12,0
malice,respect me,1,2014-09-04,0
malice,stand back,1,2014-09-04,0
amnesys,embrace the ultimate (official harmony of hardcore 2015 anthem),18,2015-05-13,0
amnesys,incoming shockwave,2,2015-03-18,0
amnesys,big bang,5,2014-10-29,0
amnesys,death line,3,2013-09-03,0
amnesys,the purest #tih,7,2013-09-03,0
amnesys,back 2 zero,5,2012-01-09,0
amnesys,massacre,3,2012-01-09,0
amnesys,refly,20,2010-07-02,0
amnesys,ctrl_d_future,7,2010-07-02,0
amnesys,system crash,6,2010-07-02,0
amnesys,elevation,13,2009-03-09,0
amnesys,4d future,8,2009-03-09,0
amnesys,raw generation,7,2009-03-09,0
amnesys,worldwide crises,14,2008-02-12,0
amnesys,underground revolution,4,2008-02-12,0
amnesys,catastrophes,3,2008-02-12,0
amnesys,mainstream nitro,5,2007-01-31,0
amnesys,slash com,2,2007-01-31,0
amnesys,my motherfuckin' name,3,2007-01-31,0
amnesys,i justified,7,2007-01-31,0
destructive tendencies,intro (snakepit),3,2017-12-11,0
destructive tendencies,its all about the drop,3,2017-12-11,0
dither,raggacore,7,2017-12-11,0
streiks & kratchs,voetbal,18,2017-12-11,0
sei2ure,the rhythm,2,2017-12-11,0
edub,mainstream,1,2017-12-11,0
detest,switch it up,2,2017-12-11,0
noize suppressor,shit down,1,2017-12-11,0
sei2ure,you're finished,1,2017-12-11,0
the satan,beast,4,2017-12-11,0
unexist,enter the unexistence,0,2015-10-02,0
unexist,underground existence,3,2015-10-02,0
unexist,devil's son,2,2015-10-02,0
unexist,fraud,2,2015-10-02,0
unexist,don't exist,4,2010-10-27,0
unexist,spank yer ass,4,2010-10-27,0
unexist,#1,4,2010-10-27,0
unexist,sick rhymes,4,2010-10-27,0
unexist,rottweiler,13,2019-01-10,0
unexist,kings never die,38,2017-03-09,0
unexist,extermination,19,2016-11-24,0
unexist,disconnected #tih,7,2015-02-11,0
unexist,power of underground,7,2014-02-04,0
unexist,dream of death,5,2013-11-22,0
unexist,danger #tih,4,2013-08-04,0
unexist,body bag,4,2011-06-16,0
unexist,freedom,5,2011-06-16,0
unexist,show me,1,2008-10-06,0
unexist,counter virus,0,2006-04-12,0
unexist,reknocked,0,2006-04-12,0
unexist,exploited,0,2006-04-12,0
unexist,smash,1,2005-11-17,0
unexist,twisted,0,2005-11-17,0
unexist,paranoia,1,2005-11-17,0
unexist,line got crossed,2,2005-11-17,0
unexist,attack,28,2004-01-19,0
unexist,deal with it,2,2004-01-19,0
unexist,unexist will break your face,3,2004-01-19,0
unexist,die screaming motherfxxcker,1,1998-05-16,0
unexist,conspiracy,2,1998-05-16,0
audiofreq,invocation,2,2016-11-25,0
audiofreq,mdmaudio,7,2016-11-25,0
audiofreq,audiofile.001,9,2016-11-25,0
audiofreq,audiofile.002,4,2016-11-25,0
audiofreq,analog alchemy,4,2016-11-25,0
audiofreq,the grid,8,2016-11-25,0
audiofreq,afterglow,9,2016-11-25,0
audiofreq,timebomb,18,2016-11-25,0
audiofreq,tripwire,2,2016-11-25,0
audiofreq,the hornet,4,2016-11-25,0
audiofreq,audio god,9,2016-11-25,0
dyro,wolv [mix cut],10,2014-11-21,0
noisecontrollers,the day [mix cut],8,2014-11-21,0
audiofreq,warcry [mix cut],9,2014-11-21,0
hard driver,#wut [mix cut],7,2014-11-21,0
audiofreq,into the jungle [mix cut],6,2014-11-21,0
phrantic,surrender [mix cut],5,2014-11-21,0
audiofreq,legend [mix cut],7,2014-11-21,0
noisecontrollers,what?! [mix cut],4,2014-11-21,0
audiofreq,riot! [mix cut],5,2014-11-21,0
outbreak,#bassface [mix cut],4,2014-11-21,0
dyro,wolv,0,2014-11-21,0
noisecontrollers,the day,5,2014-11-21,0
phrantic,surrender,2,2014-11-21,0
audiofreq,riot!,2,2014-11-21,0
audiofreq,warcry,4,2014-11-14,0
audiofreq,into the jungle,3,2014-11-14,0
audiofreq,legend,3,2014-11-14,0
noisecontrollers,what?!,3,2014-11-14,0
outbreak,#bassface,3,2014-11-14,0
audiofreq,desire,7,2013-10-21,0
audiofreq,the gospel,1,2013-10-21,0
audiofreq,volition,3,2013-10-21,0
audiofreq,time machine,1,2013-10-21,0
audiofreq,brnfnk,0,2013-10-21,0
audiofreq,welcome to the future,1,2013-10-21,0
audiofreq,audioception,0,2013-10-21,0
audiofreq,head split,32,2022-10-28,0
audiofreq,savage in me,20,2022-06-30,0
audiofreq,cyborg,18,2022-05-27,0
audiofreq,boss mode,20,2022-02-24,0
audiofreq,in my soul,28,2022-01-21,0
audiofreq,chrysalis (official epik 2021 anthem),28,2021-12-03,0
audiofreq,like a warrior,17,2021-10-15,0
audiofreq,lose control 5.0,19,2020-07-17,0
audiofreq,the cure,13,2020-05-04,0
audiofreq,take me higher,8,2020-05-04,0
audiofreq,go psycho,8,2020-05-04,0
audiofreq,supernova,11,2020-05-04,0
audiofreq,shredder,12,2020-03-30,0
audiofreq,ascension,13,2020-02-10,0
audiofreq,resurrection,33,2020-02-10,0
audiofreq,heresy,12,2020-02-10,0
audiofreq,return to the source,19,2020-02-10,0
audiofreq,sky fall,11,2019-06-24,0
audiofreq,rewind,9,2019-06-24,0
audiofreq,terminate,9,2019-06-24,0
audiofreq,brain stomp,16,2019-06-24,0
audiofreq,fire power,20,2019-06-24,0
audiofreq,dance 2 music (audiophetamine edit),15,2019-06-17,0
audiofreq,the ritual,5,2019-06-07,0
audiofreq,desire (audiophetamine edit),13,2019-03-21,0
audiofreq,power up,10,2018-11-19,0
audiofreq,play the game,23,2018-11-19,0
audiofreq,the warrior,10,2018-11-19,0
audiofreq,stampede,14,2017-05-01,0
audiofreq,stingray,1,2016-06-17,0
audiofreq,the vault,3,2016-06-17,0
audiofreq,daylight,1,2016-06-17,0
audiofreq,audiophetamine,7,2015-06-15,0
audiofreq,music generation,5,2015-01-19,0
audiofreq,helix,2,2015-01-19,0
audiofreq,omg aliens!!1,2,2015-01-19,0
blaster,shaman,4,2019-03-28,0
blaster,rejection,18,2019-03-28,0
blaster,the boneless,3,2019-03-28,0
blaster,fears,11,2019-03-28,0
blaster,w.t.f.,12,2019-03-28,0
blaster,authority,11,2019-03-28,0
blaster,дежа вю,0,2022-02-04,0
blaster,kiss a goat,6,2021-11-15,0
blaster,vale fovozo,0,2021-11-13,0
blaster,навсегда,0,2021-11-11,0
blaster,твой ход,0,2021-11-11,0
blaster,no!,0,2021-11-11,0
blaster,never die,41,2021-07-15,0
blaster,everybody bounce,10,2020-10-15,0
blaster,drop the bass,15,2020-09-03,0
blaster,tear the place up,11,2019-09-23,0
blaster,bass weapon,0,2018-12-18,0
blaster,murder the scene,0,2018-12-18,0
blaster,time of darkness,2,2018-09-20,0
blaster,welcome to mayhem,8,2018-09-20,0
blaster,crazy shit,0,2018-05-22,0
blaster,fcked up,2,2018-05-22,0
blaster,bad man,0,2018-05-22,0
blaster,crack music,4,2018-04-18,0
blaster,shock for your system,1,2018-04-18,0
blaster,drop the bomb,3,2018-03-16,0
blaster,you don't like me,1,2018-03-16,0
never surrender,rise,10,2020-06-26,0
never surrender,beat the drum,21,2020-06-26,0
never surrender,hardcore gangster,9,2020-06-26,0
never surrender,world of chaos,7,2020-06-26,0
never surrender,born free,2,2020-06-26,0
never surrender,i'm a raver,39,2023-01-25,0
never surrender,poedersneeuw 5.0,39,2022-12-06,0
never surrender,schrik van de stad,27,2022-07-21,0
never surrender,loco,28,2022-06-24,0
never surrender,poedersneeuw 4.0,26,2021-12-08,0
never surrender,king,22,2021-08-27,0
never surrender,who i am,31,2021-07-30,0
never surrender,poedersneeuw 3.0,19,2020-12-25,0
never surrender,poison,22,2020-12-11,0
never surrender,mother nature,12,2020-01-21,0
never surrender,we shall never surrender,14,2019-12-13,0
never surrender,blessed to kill,12,2019-10-25,0
never surrender,smashing,14,2019-03-08,0
never surrender,motherfucking bassdrum,3,2018-10-05,0
never surrender,never surrender,4,2018-08-10,0
never surrender,rising rebellion,10,2018-06-22,0
stormtrooper,work that,1,2013-05-29,0
dj paul,life is like a dance,22,2017-04-14,0
dj paul,play my game,14,2017-04-14,0
dj paul,paul's nightmare,13,2017-04-14,0
forze dj team,98 to piano,30,2017-04-14,0
the beatkrusher,let’s go,2,2016-02-12,0
accelarator,here to stay,10,2012-10-31,0
dj paul,luv u more,47,1995-06-01,0
bloodfire,one way,33,2022-11-04,0
bloodfire,pain,10,2021-12-22,0
bloodfire,back from the future,13,2020-09-24,0
bloodfire,the otherside,9,2020-02-27,0
bloodfire,let the body rock,8,2020-02-27,0
bloodfire,junk,5,2019-11-12,0
bloodfire,illusion,9,2019-03-07,0
bloodfire,into the light,5,2019-03-07,0
bloodfire,bassface,2,2018-10-25,0
bloodfire,redemption,8,2018-06-07,0
bloodfire,hit with the hard,5,2018-06-07,0
the anunnaki,church of noise (full continuous mix),0,2017-09-21,0
the anunnaki,kick & snare,0,2019-09-20,0
the anunnaki,killing darth fader,0,2019-09-20,0
the anunnaki,grimecore,5,2019-09-13,0
the anunnaki,#killah,5,2018-09-18,0
the anunnaki,#ccn,4,2017-01-23,0
the anunnaki,ass shaking,4,2016-05-16,0
sei2ure,deathwish,0,2015-09-08,0
the anunnaki,never stop the fucking rave,0,2015-07-31,0
the anunnaki,slaves to hardcore,0,2015-07-31,0
ophidian,incoming signal,8,2021-04-09,0
ophidian,save me,15,2021-04-09,0
ophidian,the sky on fire,21,2021-04-09,0
ophidian,subwoofer,15,2021-04-09,0
ophidian,music (the cosmonaut),19,2021-04-09,0
ophidian,helicoprion,10,2021-04-09,0
ophidian,redshift,9,2021-04-09,0
ophidian,priest of the void,12,2021-04-09,0
ophidian,the new world,16,2021-04-09,0
ophidian,end the earth iii,11,2021-04-09,0
ophidian,the end of never,10,2021-04-09,0
ophidian,spoken,6,2013-11-15,0
ophidian,the rain,12,2013-11-15,0
ophidian,end the earth ii,6,2013-11-15,0
ophidian,harlequin,5,2013-11-15,0
ophidian,kraken,4,2013-11-15,0
ophidian,abandon,8,2013-11-15,0
ophidian,inception by sound vip,5,2013-11-15,0
ophidian,corenival,0,2013-01-24,0
ophidian,chromosome,1,2013-01-24,0
ophidian,gara,0,2013-01-24,0
ophidian,voyager,1,2013-01-24,0
ophidian,pioneer,0,2013-01-24,0
ophidian,supersecrecy,0,2013-01-24,0
ophidian,distoteque,1,2013-01-24,0
ophidian,headache,0,2013-01-24,0
ophidian,nurse,6,2003-01-01,0
ophidian,friction,2,2003-01-01,0
ophidian,tresher,5,2003-01-01,0
ophidian,noisefloor,2,2003-01-01,0
ophidian,mantaray,5,2003-01-01,0
ophidian,nentisys,2,2003-01-01,0
ophidian,helicoil,1,2003-01-01,0
ophidian,answers,2,2003-01-01,0
ophidian,blind,5,2003-01-01,0
ophidian,strychnine,2,2003-01-01,0
ophidian,dark euphoria,29,2022-05-09,0
ophidian,silver .22 (the name of the wolf),20,2022-04-06,0
ophidian,who you are,23,2020-12-18,0
ophidian,electric resonance,15,2020-12-04,0
ophidian,silver,9,2020-04-23,0
ophidian,sometimes (cats & coffee machines),7,2020-01-27,0
ophidian,thunder rocket,4,2020-01-27,0
ophidian,the phoenix,14,2019-08-19,0
ophidian,demimonde,9,2019-08-19,0
ophidian,bring on the orchestra (harmony of hardcore anthem 2019),23,2019-05-20,0
ophidian,the 909 track,12,2018-08-17,0
ophidian,only one,10,2018-08-17,0
ophidian,dead air,7,2018-08-17,0
ophidian,excalibur,2,2017-11-17,0
ophidian,running on empty,19,2017-06-12,0
ophidian,love is digital,8,2017-02-14,0
ophidian,qotile,0,2011-01-22,0
ophidian,end the earth,6,2010-11-10,0
ophidian,order out of chaos,1,2001-12-01,0
ophidian,ghosts,2,2001-12-01,0
ophidian,scrapmetal,1,2001-12-01,0
ophidian,absolute evil,2,2001-12-01,0
ophidian,black,2,2001-12-01,0
the sickest squad,atmosfear (intro),9,2016-09-27,0
the sickest squad,anubis,9,2016-09-27,0
the sickest squad,in93,9,2016-09-27,0
the sickest squad,zombie,29,2016-09-27,0
the sickest squad,atto primo: bad sensations,3,2012-04-23,0
the sickest squad,new shit,18,2012-04-23,0
the sickest squad,in 72,5,2012-04-23,0
the sickest squad,sick lullaby,12,2012-04-23,0
the sickest squad,cant stop,3,2012-04-23,0
the sickest squad,atto secondo: hash smoker,2,2012-04-23,0
the sickest squad,in 80,10,2012-04-23,0
the sickest squad,in 76,5,2012-04-23,0
the sickest squad,offsick,17,2012-04-23,0
the sickest squad,opera prima,11,2012-04-23,0
the sickest squad,intro,1,2008,0
the sickest squad,digital death,2,2008,0
the sickest squad,in 44,3,2008,0
the sickest squad,beat combat,1,2008,0
the sickest squad,in50 the celebration,2,2008,0
the sickest squad,tananì tananà,8,2008,0
the sickest squad,in 42,3,2008,0
the sickest squad,decerebration,1,2008,0
the sickest squad,trip creator,1,2008,0
the sickest squad,how big is the sky?,2,2008,0
the sickest squad,psychedelic people,19,2022-10-28,0
the sickest squad,insomnia,21,2022-10-21,0
the sickest squad,jiamf ode to buzz fuzz,9,2022-03-23,0
the sickest squad,deep in your mind,8,2022-01-26,0
the sickest squad,in27,9,2020-06-24,0
the sickest squad,in98,8,2019-02-12,0
the sickest squad,in30,11,2019-01-15,0
the sickest squad,blue,16,2018-06-19,0
the sickest squad,purple,3,2018-06-19,0
the sickest squad,red,9,2018-06-19,0
the sickest squad,in92,5,2015-06-03,0
the sickest squad,scratch my cock,0,2011-07-04,0
the sickest squad,really hot,1,2011-07-04,0
the sickest squad,in53,1,2011-07-04,0
the sickest squad,music emotion,0,2011-07-04,0
the sickest squad,in73,1,2011-05-26,0
the sickest squad,no disco party,1,2011-05-26,0
the sickest squad,death by stereo,0,2010-05-30,0
the sickest squad,amputation,2,2010-05-30,0
the sickest squad,one of us,5,2010-05-30,0
the sickest squad,doom city keeper,0,2010-05-30,0
the sickest squad,hard abuse,4,2009-11-23,0
the sickest squad,hardcore scratching,1,2009-11-23,0
the sickest squad,the world is mine,8,2009-11-23,0
the sickest squad,in-ctrl,3,2009-11-23,0
the sickest squad,digital cocaine,3,2009-06-17,0
